2020-03-21,Los Angeles County,52dea92d3cf9994f4e043dbb,Discount Stores,65,16
2020-03-21,Los Angeles County,4bf58dd8d48988d10a951735,Banks,47,17
2020-03-21,Los Angeles County,52e816a6bcbc57f1066b7a54,Warehouse Stores,57,18
2020-03-21,Los Angeles County,4bf58dd8d48988d132941735,Churches,40,19
2020-03-21,Los Angeles County,4bf58dd8d48988d130941735,Buildings,50,20
2020-03-21,Madera County,4bf58dd8d48988d113951735,Gas Stations,59,1
2020-03-21,Madera County,4bf58dd8d48988d118951735,Grocery Stores,89,2
2020-03-21,Marin County,4bf58dd8d48988d159941735,Trails,138,1
2020-03-21,Marin County,4bf58dd8d48988d118951735,Grocery Stores,86,2
2020-03-21,Marin County,4bf58dd8d48988d163941735,Parks,94,3
2020-03-21,Marin County,52e81612bcbc57f1066b7a21,National Parks,77,4
2020-03-21,Marin County,4bf58dd8d48988d1e2941735,Beaches,115,5
2020-03-21,Merced County,4bf58dd8d48988d113951735,Gas Stations,72,1
2020-03-21,Merced County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,74,2
2020-03-21,Merced County,4bf58dd8d48988d118951735,Grocery Stores,63,3
2020-03-21,Merced County,4bf58dd8d48988d16e941735,Fast Food Restaurants,49,4
2020-03-21,Monterey County,4bf58dd8d48988d118951735,Grocery Stores,73,1
2020-03-21,Monterey County,4bf58dd8d48988d1c1941735,Mexican Restaurants,49,2
2020-03-21,Monterey County,4bf58dd8d48988d113951735,Gas Stations,45,3
2020-03-21,Monterey County,4bf58dd8d48988d16e941735,Fast Food Restaurants,45,4
2020-03-21,Monterey County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,58,5
2020-03-21,Monterey County,4bf58dd8d48988d10f951735,Pharmacies,77,6
2020-03-21,Napa County,4bf58dd8d48988d118951735,Grocery Stores,64,1
2020-03-21,Nevada County,4bf58dd8d48988d118951735,Grocery Stores,74,1
2020-03-21,Orange County,4bf58dd8d48988d118951735,Grocery Stores,81,1
2020-03-21,Orange County,4bf58dd8d48988d16e941735,Fast Food Restaurants,51,2
2020-03-21,Orange County,4bf58dd8d48988d163941735,Parks,73,3
2020-03-21,Orange County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,70,4
2020-03-21,Orange County,4bf58dd8d48988d1fd941735,Shopping Malls,33,5
2020-03-21,Orange County,4bf58dd8d48988d113951735,Gas Stations,51,6
2020-03-21,Orange County,52f2ab2ebcbc57f1066b8b46,Supermarkets,74,7
2020-03-21,Orange County,4bf58dd8d48988d112951735,Hardware Stores,85,8
2020-03-21,Orange County,4bf58dd8d48988d1e0931735,Coffee Shops,37,9
2020-03-21,Orange County,4bf58dd8d48988d10f951735,Pharmacies,71,10
2020-03-21,Orange County,4bf58dd8d48988d1c1941735,Mexican Restaurants,40,11
2020-03-21,Orange County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),59,12
2020-03-21,Orange County,4bf58dd8d48988d1e2941735,Beaches,94,13
2020-03-21,Orange County,52e816a6bcbc57f1066b7a54,Warehouse Stores,59,14
2020-03-21,Orange County,4d954b0ea243a5684a65b473,Convenience Stores,54,15
2020-03-21,Orange County,4bf58dd8d48988d159941735,Trails,94,16
2020-03-21,Orange County,4bf58dd8d48988d124951735,Automotive Shops,57,17
2020-03-21,Orange County,5744ccdfe4b0c0459246b4dc,Shopping Plazas,31,18
2020-03-21,Orange County,4f4533804b9074f6e4fb0105,Elementary Schools,61,19
2020-03-21,Orange County,4bf58dd8d48988d10a951735,Banks,47,20
2020-03-21,Placer County,4bf58dd8d48988d118951735,Grocery Stores,87,1
2020-03-21,Placer County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,67,2
2020-03-21,Placer County,4bf58dd8d48988d16e941735,Fast Food Restaurants,57,3
2020-03-21,Placer County,4bf58dd8d48988d113951735,Gas Stations,64,4
2020-03-21,Placer County,5744ccdfe4b0c0459246b4dc,Shopping Plazas,47,5
2020-03-21,Placer County,4bf58dd8d48988d163941735,Parks,64,6
2020-03-21,Placer County,4bf58dd8d48988d112951735,Hardware Stores,74,7
2020-03-21,Placer County,4bf58dd8d48988d1e0931735,Coffee Shops,41,8
2020-03-21,Riverside County,4bf58dd8d48988d118951735,Grocery Stores,84,1
2020-03-21,Riverside County,4bf58dd8d48988d16e941735,Fast Food Restaurants,51,2
2020-03-21,Riverside County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,71,3
2020-03-21,Riverside County,4bf58dd8d48988d113951735,Gas Stations,56,4
