2020-03-21,Tulare County,Big Box Stores,62,7
2020-03-21,Tulare County,School,59,8
2020-03-21,Tulare County,Professional & Other Places,66,9
2020-03-21,Tulare County,Hardware Stores,79,10
2020-03-21,Tuolumne County,Shops & Services,60,1
2020-03-21,Tuolumne County,Outdoors & Recreation,62,2
2020-03-21,Ventura County,Food,43,1
2020-03-21,Ventura County,Shops & Services,38,2
2020-03-21,Ventura County,Outdoors & Recreation,73,3
2020-03-21,Ventura County,Grocery,85,4
2020-03-21,Ventura County,Fast Food Restaurants,51,5
2020-03-21,Ventura County,Gas Stations,54,6
2020-03-21,Ventura County,Professional & Other Places,54,7
2020-03-21,Ventura County,Big Box Stores,65,8
2020-03-21,Ventura County,Hardware Stores,76,9
2020-03-21,Ventura County,Medical,65,10
2020-03-21,Yolo County,Shops & Services,44,1
2020-03-21,Yolo County,Food,35,2
2020-03-21,Yolo County,Outdoors & Recreation,71,3
2020-03-21,Yolo County,Grocery,70,4
2020-03-21,Yolo County,Professional & Other Places,52,5
2020-03-21,Yolo County,Gas Stations,63,6
2020-03-21,Yolo County,Big Box Stores,69,7
2020-03-21,Yuba County,Food,62,1
