categoryId,categoryName,isEssential
55a59bace4b013909087cb36,Yoshoku Restaurant,true
4bf58dd8d48988d113941735,Korean Restaurant,true
56aa371be4b08b9a8d5734e4,Bossam/Jokbal Restaurant,true
56aa371be4b08b9a8d5734f0,Bunsik Restaurant,true
56aa371be4b08b9a8d5734e7,Gukbap Restaurant,true
56aa371be4b08b9a8d5734ed,Janguh Restaurant,true
56aa371be4b08b9a8d5734ea,Samgyetang Restaurant,true
4bf58dd8d48988d156941735,Malay Restaurant,true
5ae9595eb77c77002c2f9f26,Mamak Restaurant,true
4eb1d5724b900d56c88a45fe,Mongolian Restaurant,true
4bf58dd8d48988d1d1941735,Noodle House,true
56aa371be4b08b9a8d57350e,Satay Restaurant,true
4bf58dd8d48988d149941735,Thai Restaurant,true
56aa371be4b08b9a8d573502,Som Tum Restaurant,true
52af39fb3cf9994f4e043be9,Tibetan Restaurant,true
4bf58dd8d48988d14a941735,Vietnamese Restaurant,true
4bf58dd8d48988d169941735,Australian Restaurant,true
52e81612bcbc57f1066b7a01,Austrian Restaurant,true
4bf58dd8d48988d1df931735,BBQ Joint,true
4bf58dd8d48988d179941735,Bagel Shop,true
4bf58dd8d48988d16a941735,Bakery,true
5e179ee74ae8e90006e9a746,Bangladeshi Restaurant,true
52e81612bcbc57f1066b7a02,Belgian Restaurant,true
52e81612bcbc57f1066b79f1,Bistro,true
4bf58dd8d48988d143941735,Breakfast Spot,true
52e81612bcbc57f1066b7a0c,Bubble Tea Shop,true
52e81612bcbc57f1066b79f4,Buffet,true
4bf58dd8d48988d16c941735,Burger Joint,true
4bf58dd8d48988d128941735,Cafeteria,true
4bf58dd8d48988d16d941735,Café,true
4bf58dd8d48988d17a941735,Cajun / Creole Restaurant,true
4bf58dd8d48988d144941735,Caribbean Restaurant,true
4bf58dd8d48988d154941735,Cuban Restaurant,true
5293a7d53cf9994f4e043a45,Caucasian Restaurant,true
4bf58dd8d48988d1e0931735,Coffee Shop,true
52e81612bcbc57f1066b7a00,Comfort Food Restaurant,true
52e81612bcbc57f1066b79f2,Creperie,true
52f2ae52bcbc57f1066b8b81,Czech Restaurant,true
4bf58dd8d48988d146941735,Deli / Bodega,true
4bf58dd8d48988d1d0941735,Dessert Shop,true
4bf58dd8d48988d1bc941735,Cupcake Shop,true
512e7cae91d4cbb4e5efe0af,Frozen Yogurt Shop,true
4bf58dd8d48988d1c9941735,Ice Cream Shop,true
5744ccdfe4b0c0459246b4e2,Pastry Shop,true
52e81612bcbc57f1066b7a0a,Pie Shop,true
4bf58dd8d48988d147941735,Diner,true
4bf58dd8d48988d148941735,Donut Shop,true
4bf58dd8d48988d108941735,Dumpling Restaurant,true
5744ccdfe4b0c0459246b4d0,Dutch Restaurant,true
4bf58dd8d48988d109941735,Eastern European Restaurant,true
52e928d0bcbc57f1066b7e97,Belarusian Restaurant,true
58daa1558bbb0b01f18ec1ee,Bosnian Restaurant,true
56aa371be4b08b9a8d5734f3,Bulgarian Restaurant,true
52960bac3cf9994f4e043ac4,Romanian Restaurant,true
52e928d0bcbc57f1066b7e98,Tatar Restaurant,true
52e81612bcbc57f1066b7a05,English Restaurant,true
4bf58dd8d48988d10b941735,Falafel Restaurant,true
4bf58dd8d48988d16e941735,Fast Food Restaurant,true
4edd64a0c7ddd24ca188df1a,Fish & Chips Shop,true
52e81612bcbc57f1066b7a09,Fondue Restaurant,true
4bf58dd8d48988d120951735,Food Court,true
56aa371be4b08b9a8d57350b,Food Stand,true
4bf58dd8d48988d1cb941735,Food Truck,true
4bf58dd8d48988d10c941735,French Restaurant,true
57558b36e4b065ecebd306b6,Alsatian Restaurant,true
57558b36e4b065ecebd306b8,Auvergne Restaurant,true
57558b36e4b065ecebd306bc,Basque Restaurant,true
57558b36e4b065ecebd306b0,Brasserie,true
57558b36e4b065ecebd306c5,Breton Restaurant,true
57558b36e4b065ecebd306c0,Burgundian Restaurant,true
57558b36e4b065ecebd306cb,Catalan Restaurant,true
57558b36e4b065ecebd306ce,Ch'ti Restaurant,true
57558b36e4b065ecebd306d1,Corsican Restaurant,true
57558b36e4b065ecebd306b4,Estaminet,true
57558b36e4b065ecebd306b2,Labour Canteen,true
57558b35e4b065ecebd306ad,Lyonese Bouchon,true
57558b36e4b065ecebd306d4,Norman Restaurant,true
57558b36e4b065ecebd306d7,Provençal Restaurant,true
57558b36e4b065ecebd306da,Savoyard Restaurant,true
57558b36e4b065ecebd306ba,Southwestern French Restaurant,true
4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,true
55d25775498e9f6a0816a37a,Friterie,true
4bf58dd8d48988d155941735,Gastropub,true
4bf58dd8d48988d10d941735,German Restaurant,true
56aa371ce4b08b9a8d573583,Apple Wine Pub,true
56aa371ce4b08b9a8d573572,Bavarian Restaurant,true
56aa371ce4b08b9a8d57358e,Bratwurst Joint,true
56aa371ce4b08b9a8d57358b,Currywurst Joint,true
56aa371ce4b08b9a8d573574,Franconian Restaurant,true
56aa371ce4b08b9a8d573592,German Pop-Up Restaurant,true
56aa371ce4b08b9a8d573578,Palatine Restaurant,true
56aa371ce4b08b9a8d57357b,Rhenisch Restaurant,true
56aa371ce4b08b9a8d573587,Schnitzel Restaurant,true
56aa371ce4b08b9a8d57357f,Silesian Restaurant,true
56aa371ce4b08b9a8d573576,Swabian Restaurant,true
4c2cd86ed066bed06c3c5209,Gluten-free Restaurant,true
4bf58dd8d48988d10e941735,Greek Restaurant,true
53d6c1b0e4b02351e88a83e8,Bougatsa Shop,true
53d6c1b0e4b02351e88a83e2,Cretan Restaurant,true
53d6c1b0e4b02351e88a83d8,Fish Taverna,true
53d6c1b0e4b02351e88a83d6,Grilled Meat Restaurant,true
53d6c1b0e4b02351e88a83e6,Kafenio,true
53d6c1b0e4b02351e88a83e4,Magirio,true
53d6c1b0e4b02351e88a83da,Meze Restaurant,true
53d6c1b0e4b02351e88a83d4,Modern Greek Restaurant,true
53d6c1b0e4b02351e88a83dc,Ouzeri,true
53d6c1b0e4b02351e88a83e0,Patsa Restaurant,true
52e81612bcbc57f1066b79f3,Souvlaki Shop,true
53d6c1b0e4b02351e88a83d2,Taverna,true
53d6c1b0e4b02351e88a83de,Tsipouro Restaurant,true
