date,county,category,visitIndex,rank
2020-03-04,Contra Costa County,Food,98,1
2020-03-04,Contra Costa County,Shops & Services,99,2
2020-03-04,Contra Costa County,Outdoors & Recreation,98,3
2020-03-04,Contra Costa County,Grocery,103,4
2020-03-04,Contra Costa County,School,105,5
2020-03-04,Contra Costa County,Medical,101,6
2020-03-04,Contra Costa County,Professional & Other Places,105,6
2020-03-04,Contra Costa County,Gas Stations,96,7
2020-03-04,Contra Costa County,Fitness Center,100,8
2020-03-04,Contra Costa County,Fast Food Restaurants,94,9
2020-03-04,Contra Costa County,Colleges & Universities,111,10
2020-03-05,Contra Costa County,Food,102,1
2020-03-05,Contra Costa County,Shops & Services,103,2
2020-03-05,Contra Costa County,Outdoors & Recreation,103,3
2020-03-05,Contra Costa County,Grocery,102,4
2020-03-05,Contra Costa County,School,100,5
2020-03-05,Contra Costa County,Professional & Other Places,101,6
2020-03-05,Contra Costa County,Medical,98,7
2020-03-05,Contra Costa County,Gas Stations,101,8
2020-03-05,Contra Costa County,Fast Food Restaurants,98,9
2020-03-05,Contra Costa County,Fitness Center,99,10
2020-03-06,Contra Costa County,Food,95,1
2020-03-06,Contra Costa County,Shops & Services,99,2
2020-03-06,Contra Costa County,Outdoors & Recreation,99,3
2020-03-06,Contra Costa County,Grocery,102,4
2020-03-06,Contra Costa County,School,106,5
2020-03-06,Contra Costa County,Professional & Other Places,98,6
2020-03-06,Contra Costa County,Medical,94,7
2020-03-06,Contra Costa County,Gas Stations,93,8
2020-03-06,Contra Costa County,Fast Food Restaurants,102,9
2020-03-06,Contra Costa County,Fitness Center,102,10
2020-03-07,Contra Costa County,Food,93,1
2020-03-07,Contra Costa County,Shops & Services,91,2
2020-03-07,Contra Costa County,Outdoors & Recreation,80,3
2020-03-07,Contra Costa County,Grocery,94,4
2020-03-07,Contra Costa County,Professional & Other Places,95,5
2020-03-07,Contra Costa County,School,93,6
2020-03-07,Contra Costa County,Gas Stations,84,7
2020-03-07,Contra Costa County,Fast Food Restaurants,87,8
2020-03-07,Contra Costa County,Arts & Entertainment,104,9
2020-03-07,Contra Costa County,Big Box Stores,95,10
2020-03-08,Contra Costa County,Food,99,1
2020-03-08,Contra Costa County,Shops & Services,99,2
2020-03-08,Contra Costa County,Outdoors & Recreation,99,3
2020-03-08,Contra Costa County,Grocery,97,4
2020-03-08,Contra Costa County,Gas Stations,89,5
2020-03-08,Contra Costa County,Spiritual Center,91,6
2020-03-08,Contra Costa County,Professional & Other Places,103,7
2020-03-08,Contra Costa County,School,95,8
2020-03-08,Contra Costa County,Fast Food Restaurants,94,9
2020-03-08,Contra Costa County,Big Box Stores,106,10
2020-03-09,Contra Costa County,Food,100,1
2020-03-09,Contra Costa County,Shops & Services,95,2
2020-03-09,Contra Costa County,Outdoors & Recreation,96,3
2020-03-09,Contra Costa County,Grocery,107,4
2020-03-09,Contra Costa County,School,115,5
2020-03-09,Contra Costa County,Medical,105,6
2020-03-09,Contra Costa County,Professional & Other Places,103,7
2020-03-09,Contra Costa County,Gas Stations,100,8
2020-03-09,Contra Costa County,Fitness Center,91,9
2020-03-09,Contra Costa County,Fast Food Restaurants,91,10
2020-03-10,Contra Costa County,Food,95,1
2020-03-10,Contra Costa County,Shops & Services,98,2
2020-03-10,Contra Costa County,Outdoors & Recreation,98,3
2020-03-10,Contra Costa County,Grocery,103,4
2020-03-10,Contra Costa County,School,100,5
2020-03-10,Contra Costa County,Medical,94,6
2020-03-10,Contra Costa County,Professional & Other Places,93,7
2020-03-10,Contra Costa County,Gas Stations,92,8
2020-03-10,Contra Costa County,Fitness Center,89,9
2020-03-10,Contra Costa County,Fast Food Restaurants,90,10
2020-03-11,Contra Costa County,Food,94,1
2020-03-11,Contra Costa County,Shops & Services,97,2
2020-03-11,Contra Costa County,Outdoors & Recreation,105,3
2020-03-11,Contra Costa County,Grocery,108,4
2020-03-11,Contra Costa County,School,97,5
2020-03-11,Contra Costa County,Medical,91,6
2020-03-11,Contra Costa County,Professional & Other Places,94,7
2020-03-11,Contra Costa County,Gas Stations,92,8
2020-03-11,Contra Costa County,Fitness Center,93,9
2020-03-11,Contra Costa County,Fast Food Restaurants,92,10
2020-03-12,Contra Costa County,Food,94,1
2020-03-12,Contra Costa County,Shops & Services,97,2
2020-03-12,Contra Costa County,Outdoors & Recreation,104,3
2020-03-12,Contra Costa County,Grocery,121,4
2020-03-12,Contra Costa County,School,93,5
2020-03-12,Contra Costa County,Professional & Other Places,93,6
