date,county,categoryName,visitIndex
2020-03-04,Monterey County,High Schools,101
2020-03-04,Monterey County,Big Box Stores,96
2020-03-04,Monterey County,Pharmacies,99
2020-03-04,Monterey County,Government Buildings,103
2020-03-04,Monterey County,Convenience Stores,88
2020-03-04,Monterey County,Churches,82
2020-03-04,Monterey County,Parks,125
2020-03-04,Monterey County,Golf Courses,79
2020-03-04,Monterey County,Beaches,88
2020-03-04,Monterey County,Bakeries,98
2020-03-04,Monterey County,Banks,108
2020-03-04,Monterey County,Farms,89
2020-03-05,Monterey County,Grocery Stores,99
2020-03-05,Monterey County,Gas Stations,107
2020-03-05,Monterey County,Mexican Restaurants,101
2020-03-05,Monterey County,Fast Food Restaurants,91
2020-03-05,Monterey County,Hotels,84
2020-03-05,Monterey County,Elementary Schools,113
2020-03-05,Monterey County,Coffee Shops,105
2020-03-05,Monterey County,High Schools,99
2020-03-05,Monterey County,Big Box Stores,102
2020-03-05,Monterey County,Convenience Stores,115
2020-03-05,Monterey County,Pharmacies,106
2020-03-05,Monterey County,Government Buildings,109
2020-03-05,Monterey County,Golf Courses,78
2020-03-05,Monterey County,Shopping Malls,110
2020-03-05,Monterey County,Churches,101
2020-03-05,Monterey County,Bakeries,126
2020-03-05,Monterey County,Farms,114
2020-03-05,Monterey County,Parks,111
2020-03-05,Monterey County,Hardware Stores,118
2020-03-05,Monterey County,Banks,117
2020-03-06,Monterey County,Grocery Stores,91
2020-03-06,Monterey County,Mexican Restaurants,96
2020-03-06,Monterey County,Gas Stations,94
2020-03-06,Monterey County,Fast Food Restaurants,83
2020-03-06,Monterey County,Elementary Schools,120
2020-03-06,Monterey County,Hotels,71
2020-03-06,Monterey County,Coffee Shops,90
2020-03-06,Monterey County,Big Box Stores,114
2020-03-06,Monterey County,High Schools,105
2020-03-06,Monterey County,Convenience Stores,96
2020-03-06,Monterey County,Churches,110
2020-03-06,Monterey County,Pharmacies,92
2020-03-06,Monterey County,Government Buildings,103
2020-03-06,Monterey County,Bakeries,104
2020-03-06,Monterey County,Shopping Malls,85
2020-03-06,Monterey County,Golf Courses,56
2020-03-06,Monterey County,Beaches,80
2020-03-06,Monterey County,Parks,94
2020-03-06,Monterey County,Banks,91
2020-03-06,Monterey County,American Restaurants,85
2020-03-06,Monterey County,Farms,88
2020-03-07,Monterey County,Grocery Stores,90
2020-03-07,Monterey County,Hotels,80
2020-03-07,Monterey County,Mexican Restaurants,101
2020-03-07,Monterey County,Fast Food Restaurants,91
2020-03-07,Monterey County,Gas Stations,85
2020-03-07,Monterey County,Big Box Stores,89
2020-03-07,Monterey County,Coffee Shops,80
2020-03-07,Monterey County,Shopping Malls,101
2020-03-07,Monterey County,Beaches,70
2020-03-07,Monterey County,Parks,87
2020-03-07,Monterey County,American Restaurants,104
2020-03-07,Monterey County,Churches,105
2020-03-07,Monterey County,Bakeries,109
2020-03-07,Monterey County,Elementary Schools,101
2020-03-07,Monterey County,Convenience Stores,82
2020-03-07,Monterey County,Pharmacies,89
2020-03-07,Monterey County,Golf Courses,53
2020-03-07,Monterey County,High Schools,98
2020-03-07,Monterey County,Warehouse Stores,120
2020-03-07,Monterey County,Hardware Stores,109
2020-03-07,Monterey County,Seafood Restaurants,73
2020-03-08,Monterey County,Grocery Stores,101
2020-03-08,Monterey County,Mexican Restaurants,99
2020-03-08,Monterey County,Gas Stations,93
2020-03-08,Monterey County,Fast Food Restaurants,94
2020-03-08,Monterey County,Hotels,78
2020-03-08,Monterey County,Big Box Stores,109
2020-03-08,Monterey County,Coffee Shops,88
2020-03-08,Monterey County,Beaches,94
2020-03-08,Monterey County,Churches,86
2020-03-08,Monterey County,Shopping Malls,110
2020-03-08,Monterey County,Parks,97
2020-03-08,Monterey County,Golf Courses,68
2020-03-08,Monterey County,Pharmacies,102
2020-03-08,Monterey County,Convenience Stores,87
2020-03-08,Monterey County,High Schools,115
2020-03-08,Monterey County,American Restaurants,103
2020-03-08,Monterey County,Warehouse Stores,125
2020-03-08,Monterey County,Bakeries,97
2020-03-08,Monterey County,Hardware Stores,117
2020-03-09,Monterey County,Grocery Stores,115
2020-03-09,Monterey County,Gas Stations,104
2020-03-09,Monterey County,Fast Food Restaurants,109
2020-03-09,Monterey County,Mexican Restaurants,108
2020-03-09,Monterey County,Hotels,86
2020-03-09,Monterey County,Elementary Schools,134
2020-03-09,Monterey County,Big Box Stores,118
2020-03-09,Monterey County,Coffee Shops,93
2020-03-09,Monterey County,High Schools,120
2020-03-09,Monterey County,Pharmacies,113
2020-03-09,Monterey County,Churches,128
2020-03-09,Monterey County,Government Buildings,122
2020-03-09,Monterey County,Beaches,91
2020-03-09,Monterey County,Convenience Stores,88
2020-03-09,Monterey County,Parks,104
2020-03-09,Monterey County,Bakeries,126
2020-03-09,Monterey County,Golf Courses,94
2020-03-09,Monterey County,Hardware Stores,121
2020-03-09,Monterey County,Farms,107
2020-03-10,Monterey County,Grocery Stores,124
2020-03-10,Monterey County,Mexican Restaurants,106
2020-03-10,Monterey County,Gas Stations,96
2020-03-10,Monterey County,Fast Food Restaurants,102
2020-03-10,Monterey County,Hotels,79
2020-03-10,Monterey County,Elementary Schools,92
2020-03-10,Monterey County,Big Box Stores,116
2020-03-10,Monterey County,Coffee Shops,95
2020-03-10,Monterey County,High Schools,83
2020-03-10,Monterey County,Pharmacies,113
2020-03-10,Monterey County,Government Buildings,107
2020-03-10,Monterey County,Shopping Malls,104
2020-03-10,Monterey County,Parks,118
2020-03-10,Monterey County,Beaches,94
2020-03-10,Monterey County,Convenience Stores,78
2020-03-10,Monterey County,Churches,85
2020-03-10,Monterey County,Farms,95
2020-03-10,Monterey County,Bakeries,89
2020-03-11,Monterey County,Grocery Stores,125
2020-03-11,Monterey County,Gas Stations,98
2020-03-11,Monterey County,Hotels,99
