2020-03-21,Santa Clara County,Warehouse Stores,54
2020-03-21,Santa Clara County,Hardware Stores,58
2020-03-21,Santa Clara County,Trails,84
2020-03-21,Santa Clara County,Offices,38
2020-03-21,Santa Clara County,Convenience Stores,49
2020-03-21,Santa Clara County,Mexican Restaurants,33
2020-03-21,Santa Clara County,Shopping Plazas,38
2020-03-21,Santa Clara County,Elementary Schools,48
2020-03-21,Santa Clara County,Pizza Places,41
2020-03-21,Santa Clara County,Playgrounds,49
2020-03-21,Santa Clara County,Banks,38
2020-03-21,Santa Clara County,Churches,29
2020-03-21,Santa Cruz County,Grocery Stores,68
2020-03-21,Santa Cruz County,Beaches,49
2020-03-21,Shasta County,Grocery Stores,103
2020-03-21,Shasta County,Gas Stations,78
2020-03-21,Shasta County,Fast Food Restaurants,94
2020-03-21,Shasta County,Big Box Stores,88
2020-03-21,Solano County,Grocery Stores,87
2020-03-21,Solano County,Fast Food Restaurants,50
2020-03-21,Solano County,Big Box Stores,76
2020-03-21,Solano County,Gas Stations,47
2020-03-21,Solano County,Parks,66
2020-03-21,Solano County,Hardware Stores,71
2020-03-21,Solano County,Warehouse Stores,64
2020-03-21,Solano County,Coffee Shops,49
2020-03-21,Sonoma County,Grocery Stores,68
2020-03-21,Sonoma County,Parks,89
2020-03-21,Sonoma County,Gas Stations,59
2020-03-21,Sonoma County,Fast Food Restaurants,50
2020-03-21,Sonoma County,Coffee Shops,46
2020-03-21,Sonoma County,Hardware Stores,69
2020-03-21,Sonoma County,Big Box Stores,57
2020-03-21,Stanislaus County,Grocery Stores,99
2020-03-21,Stanislaus County,Fast Food Restaurants,50
2020-03-21,Stanislaus County,Big Box Stores,65
2020-03-21,Stanislaus County,Gas Stations,68
2020-03-21,Stanislaus County,Parks,72
2020-03-21,Stanislaus County,Pharmacies,80
2020-03-21,Stanislaus County,Hardware Stores,88
2020-03-21,Stanislaus County,Mexican Restaurants,53
2020-03-21,Stanislaus County,Convenience Stores,58
2020-03-21,Stanislaus County,Coffee Shops,53
2020-03-21,Stanislaus County,Discount Stores,66
2020-03-21,Stanislaus County,Shopping Plazas,55
2020-03-21,Stanislaus County,Pizza Places,52
2020-03-21,Tulare County,Gas Stations,75
2020-03-21,Tulare County,Grocery Stores,104
2020-03-21,Tulare County,Fast Food Restaurants,59
2020-03-21,Tulare County,Big Box Stores,62
2020-03-21,Tulare County,Mexican Restaurants,59
2020-03-21,Tulare County,Hardware Stores,79
2020-03-21,Tulare County,Pharmacies,71
2020-03-21,Tulare County,Discount Stores,71
2020-03-21,Tulare County,High Schools,60
2020-03-21,Tuolumne County,Shopping Plazas,56
2020-03-21,Ventura County,Grocery Stores,85
2020-03-21,Ventura County,Parks,66
2020-03-21,Ventura County,Fast Food Restaurants,51
2020-03-21,Ventura County,Gas Stations,54
2020-03-21,Ventura County,Big Box Stores,65
2020-03-21,Ventura County,Supermarkets,84
2020-03-21,Ventura County,Hardware Stores,76
2020-03-21,Ventura County,Mexican Restaurants,47
2020-03-21,Ventura County,Coffee Shops,47
2020-03-21,Ventura County,Pharmacies,67
2020-03-21,Ventura County,Beaches,94
2020-03-21,Ventura County,Shopping Malls,26
2020-03-21,Ventura County,Trails,104
2020-03-21,Ventura County,Warehouse Stores,62
2020-03-21,Ventura County,Convenience Stores,61
2020-03-21,Ventura County,Discount Stores,63
2020-03-21,Ventura County,Automotive Shops,56
2020-03-21,Yolo County,Grocery Stores,69
2020-03-21,Yolo County,Gas Stations,63
2020-03-21,Yolo County,Big Box Stores,69
2020-03-21,Yolo County,Parks,67
